Timestamp,DeviceName,FileName,ProcessCommandLine
1/16/2026 18:33,sandboxvm,SearchProtocolHost.exe,"""SearchProtocolHost.exe"" Global\UsGthrFltPipeMssGthrPipe9_ Global\UsGthrCtrlFltPipeMssGthrPipe9 1 -2147483646 ""Software\Microsoft\Windows Search"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)"" ""C:\ProgramData\Microsoft\Search\Data\Temp\usgthrsvc"" ""DownLevelDaemon"" "
1/16/2026 18:32,og-corpeast-3,conhost.exe,conhost.exe 0xffffffff -ForceV1
1/16/2026 18:32,og-corpeast-3,gc_worker.exe,gc_worker.exe -a WindowsDefenderExploitGuard -c NonCompliant -s inguest -g https://eastus2-gas.guestconfiguration.azure.com/virtualMachines/02537db2-2245-4429-b2b4-8958db3351d8
1/16/2026 18:31,kobe24,MpCmdRun.exe,"""MpCmdRun.exe"" GetDeviceTicket -AccessKey 2B22A01E-B84F-DE8D-A8B1-469A35CD406F "
1/16/2026 18:31,windows-11-pro-,StoreDesktopExtension.exe,"""StoreDesktopExtension.exe"" -Embedding"
1/16/2026 18:31,jinks-server-fi,ARP.EXE,arp.exe  -a 
1/16/2026 18:31,jinks-server-fi,ipconfig.exe,ipconfig.exe  /displaydns 
1/16/2026 18:31,jinks-server-fi,nbtstat.exe,nbtstat.exe  -s 
1/16/2026 18:31,jinks-server-fi,nbtstat.exe,nbtstat.exe  -S  
1/16/2026 18:31,jinks-server-fi,nbtstat.exe,nbtstat.exe  -c  
1/16/2026 18:31,jinks-server-fi,nbtstat.exe,nbtstat.exe  -n  
1/16/2026 18:31,irene-test-vm-m,cvtres.exe,"cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\Windows\SystemTemp\RES1082.tmp"" ""c:\Windows\SystemTemp\r2xa2wxg\CSCE582D8EDA422428CAAC7E727B11C609E.TMP"""
1/16/2026 18:31,jinks-server-fi,net1.exe,net1  sessions 
