Timestamp,DeviceName,ProcessCommandLine
1/16/2026 18:25,jinks-server-fi,cmd.exe  /c C:\Windows\System32\netsh.exe advfirewall show allprofiles firewallpolicy  
1/16/2026 18:25,windows-target-,"""cmd.exe"" /c powershell.exe -ExecutionPolicy Bypass -File C:\programdata\eicar.ps1"
1/16/2026 18:25,logn-pacific-dc,"""cmd.exe"" /c powershell.exe -ExecutionPolicy Bypass -File C:\programdata\eicar.ps1"
1/16/2026 18:24,windows-target-,"""cmd.exe"" /c powershell.exe -ExecutionPolicy Bypass -Command Invoke-WebRequest -Uri https://raw.githubusercontent.com/joshmadakor1/lognpacific-public/refs/heads/main/cyber-range/entropy-gorilla/eicar.ps1 -OutFile C:\programdata\eicar.ps1"
1/16/2026 18:24,logn-pacific-dc,"""cmd.exe"" /c powershell.exe -ExecutionPolicy Bypass -Command Invoke-WebRequest -Uri https://raw.githubusercontent.com/joshmadakor1/lognpacific-public/refs/heads/main/cyber-range/entropy-gorilla/eicar.ps1 -OutFile C:\programdata\eicar.ps1"
1/16/2026 18:24,windows-target-,"""cmd"" /Cpowershell -ExecutionPolicy Unrestricted -File script33.ps1"
1/16/2026 18:24,logn-pacific-dc,"""cmd"" /Cpowershell -ExecutionPolicy Unrestricted -File script13.ps1"
1/16/2026 18:24,logn-pacific-dc,"cmd.exe /c """"C:\Packages\Plugins\Microsoft.Azure.AzureDefenderForServers.MDE.Windows\1.0.17.0\MdeExtensionHandlerWrapper.cmd"" enable"""
1/16/2026 18:24,logn-pacific-dc,"cmd.exe /c """"C:\Packages\Plugins\Microsoft.GuestConfiguration.ConfigurationforWindows\1.29.101.0\bin\enable.cmd"""""
1/16/2026 18:24,logn-pacific-dc,"cmd  /C  C:\Packages\Plugins\Microsoft.CPlat.Core.RunCommandWindows\1.1.22\bin\RunCommandExtension.exe ""enable"""
1/16/2026 18:24,logn-pacific-dc,"cmd.exe /c """"C:\Packages\Plugins\Microsoft.CPlat.Core.RunCommandWindows\1.1.22\enable.cmd"""""
1/16/2026 18:24,winows-btest,"cmd.exe /c """"C:\Packages\Plugins\Microsoft.GuestConfiguration.ConfigurationforWindows\1.29.101.0\bin\enable.cmd"""""
1/16/2026 18:24,mm-atomicred-vm,"cmd  /C  C:\Packages\Plugins\Microsoft.CPlat.Core.RunCommandWindows\1.1.22\bin\RunCommandExtension.exe ""enable"""
